ID_Cliente,Nombre_del_Cliente,Email,Telefono,Direccion
1,Alicia Fern ndez,alicia@mail.com,555-1111,Calle Rosa 123
2,Bruno Mart¡nez,bruno@mail.com,555-2222,Av. Sol 456
3,Carla G¢mez,carla@mail.com,555-3333,Blvd. Luna 789
4,Diego L¢pez,diego@mail.com,555-4444,Calle Estrella 101
5,Elena Torres,elena@mail.com,555-5555,Av. Mar 202
6,Felipe Ruiz,felipe@mail.com,555-6666,Blvd. Diamante 303
7,Gabriela S nchez,gabriela@mail.com,555-7777,Calle Oro 404
8,Hugo Ram¡rez,hugo@mail.com,555-8888,Av. Plata 505
9,Isabel Hern ndez,isabel@mail.com,555-9999,Blvd. Rub¡ 606
10,Javier Rodr¡guez,javier@mail.com,555-1010,Calle Verde 707
11,Karla Morales,karla@mail.com,555-1112,Av. Azul 808
12,Luis Garc¡a,luis@mail.com,555-1213,Blvd. Cristal 909
13,Mar¡a Castillo,maria@mail.com,555-1314,Calle Jade 1010
14,Nicol s Vega,nicolas@mail.com,555-1415,Av. Coral 1111
15,Olivia Cruz,olivia@mail.com,555-1516,Blvd. Granate 1212
16,Pablo Mendoza,pablo@mail.com,555-1617,Calle Amatista 1313
17,Querida Romero,querida@mail.com,555-1718,Av. Topacio 1414
18,Ra£l Jim‚nez,raul@mail.com,555-1819,Blvd. àpalo 1515
19,Sof¡a D¡az,sofia@mail.com,555-1920,Calle µmbar 1616
20,Tom s Castillo,tomas@mail.com,555-2021,Av. Turquesa 1717
